Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join,T_tokens_VOS,,,,,,
AYRER J.E.; McNAMARA T.C.,SURVEY TESTING ON AN OUT?êOF?êLEVEL BASIS,1973,10,"['survey', 'testing', 'out-of-level', 'BASIS']","['survey', 'testing', 'out-of-level', 'basis']",survey testing out-of-level basis,survey; testing; out-of-level; basis,,,,,,
SONTAG M.; PEDHAZUR E.,DIMENSIONS OF EDUCATIONAL ATTITUDES: FACTORIAL CONGRUENCE OF TWO SCALES,1972,9,"['dimension', 'EDUCATIONAL', 'ATTITUDES', 'FACTORIAL', 'CONGRUENCE', 'scale']","['dimension', 'educational', 'attitudes', 'factorial', 'congruence', 'scale']",dimension educational attitudes factorial congruence scale,dimension; educational; attitudes; factorial; congruence; scale,,,,,,
GILMAN D.A.; FERRY P.,INCREASING TEST RELIABILITY THROUGH SELF?êSCORING PROCEDURES,1972,9,"['increase', 'RELIABILITY', 'SELF?êSCORING', 'PROCEDURES']","['increase', 'reliability', 'self-scoring', 'procedures']",increase reliability self-scoring procedures,increase; reliability; self-scoring; procedures,,,,,,
O'REILLY R.P.; WlGHTMAN L.E.,IMPROVING THE IDENTIFICATION OF ANXIOUS ELEMENTARY SCHOOL CHILDREN THROUGH THE USE OF AN ADJUSTED ANXIETY SCALE,1971,8,"['improve', 'identification', 'ANXIOUS', 'ELEMENTARY', 'SCHOOL', 'child', 'USE', 'adjust', 'ANXIETY', 'SCALE']","['improve', 'identification', 'anxious', 'elementary', 'school', 'child', 'use', 'adjust', 'anxiety', 'scale']",improve identification anxious elementary school child use adjust anxiety scale,improve; identification; anxious; elementary; school; child; use; adjust; anxiety; scale,,,,,,
SCHUTZ R.E.,"THE ROLE OF MEASUREMENT IN EDUCATION: SERVANT, SOULMATE, STOOLPIGEON, STATESMAN, SCAPEGOAT, ALL OF THE ABOVE, AND/OR NONE OF THE ABOVE",1971,8,"['ROLE', 'MEASUREMENT', 'EDUCATION', 'SERVANT', 'SOULMATE', 'STOOLPIGEON', 'STATESMAN', 'SCAPEGOAT', 'ALL', 'ABOVE', 'andor', 'ABOVE']","['role', 'measurement', 'education', 'servant', 'soulmate', 'stoolpigeon', 'statesman', 'scapegoat', 'all', 'above', 'andor', 'above']",role measurement education servant soulmate stoolpigeon statesman scapegoat all above andor above,role; measurement; education; servant; soulmate; stoolpigeon; statesman; scapegoat; all; above; andor; above,,,,,,
COCKRIEL I.W.,SOCIOMETRIC STATUS SCORES: A COMPARISON OF JAMRICH VALUES WITH CONVENTIONAL SCALES,1972,9,"['SOCIOMETRIC', 'STATUS', 'SCORES', 'comparison', 'jamrich', 'value', 'CONVENTIONAL', 'scale']","['sociometric', 'status', 'scores', 'comparison', 'jamrich', 'value', 'conventional', 'scale']",sociometric status scores comparison jamrich value conventional scale,sociometric; status; scores; comparison; jamrich; value; conventional; scale,,,,,,
EVANS F.R.; REILLY R.R.,A STUDY OF SPEEDEDNESS AS A SOURCE OF TEST BIAS,1972,9,"['study', 'speededness', 'source', 'BIAS']","['study', 'speededness', 'source', 'bias']",study speededness source bias,study; speededness; source; bias,,,,,,
Tuinman J.J.; Farr R.; Blanton B.E.,INCREASES IN TEST SCORES AS A FUNCTION OF MATERIAL REWARDS,1972,9,"['increase', 'SCORES', 'function', 'material', 'REWARDS']","['increase', 'scores', 'function', 'material', 'rewards']",increase scores function material rewards,increase; scores; function; material; rewards,,,,,,
PREDIGER D.J.,CONVERTING TEST DATA TO COUNSELING INFORMATION: SYSTEM TRIAL?êWITH FEEDBACK,1971,8,"['convert', 'datum', 'counseling', 'information', 'SYSTEM', 'trial?êwith', 'FEEDBACK']","['convert', 'datum', 'counseling', 'information', 'system', 'trial?êwith', 'feedback']",convert datum counseling information system trial?êwith feedback,convert; datum; counseling; information; system; trial?êwith; feedback,,,,,,
STAFFORD R.E.,THE SPEEDEDNESS QUOTIENT: A NEW DESCRIPTIVE STATISTIC FOR TESTS,1971,8,"['speededness', 'quotient', 'new', 'descriptive', 'STATISTIC']","['speededness', 'quotient', 'new', 'descriptive', 'statistic']",speededness quotient new descriptive statistic,speededness; quotient; new; descriptive; statistic,,,,,,
BAKER E.L.,THE EFFECTS OF MANIPULATED ITEM WRITING CONSTRAINTS ON THE HOMOGENEITY OF TEST ITEMS,1971,8,"['effect', 'manipulated', 'ITEM', 'write', 'constraint', 'HOMOGENEITY', 'ITEMS']","['effect', 'manipulated', 'item', 'write', 'constraint', 'homogeneity', 'items']",effect manipulated item write constraint homogeneity items,effect; manipulated; item; write; constraint; homogeneity; items,,,,,,
ANGOFF W.H.; FORD S.F.,ITEM?êRACE INTERACTION ON A TEST OF SCHOLASTIC APTITUDE,1973,10,"['item; cace', 'INTERACTION', 'SCHOLASTIC', 'APTITUDE']","['item; cace', 'interaction', 'scholastic', 'aptitude']",item; cace interaction scholastic aptitude,item; cace; interaction; scholastic; aptitude,,,,,,
PACK E.C.,THE EFFECTS OF TESTING UPON ATTITUDE TOWARDS THE METHOD AND CONTENT OF INSTRUCTION,1972,9,"['effect', 'ATTITUDE', 'METHOD', 'CONTENT', 'instruction']","['effect', 'attitude', 'method', 'content', 'instruction']",effect attitude method content instruction,effect; attitude; method; content; instruction,,,,,,
SCHUSTER D.H.,AN ANALYSIS OF FLUNKED?êOUT AND READMITTED STUDENTS,1971,8,"['analysis', 'flunked-out', 'readmitted', 'student']","['analysis', 'flunked-out', 'readmitted', 'student']",analysis flunked-out readmitted student,analysis; flunked-out; readmitted; student,,,,,,
ECHTERNACHT G.J.; BOLDT R.F.; SELLMAN W.S.,PERSONALITY INFLUENCES ON CONFIDENCE TEST SCORES,1972,9,"['personality', 'influence', 'ON', 'CONFIDENCE', 'SCORES']","['personality', 'influence', 'on', 'confidence', 'scores']",personality influence on confidence scores,personality; influence; on; confidence; scores,,,,,,
GOLDMAN R.D.; WARREN R.,DISCRIMINANT ANALYSIS OF STUDY STRATEGIES CONNECTED WITH COLLEGE GRADE SUCCESS IN DIFFERENT MAJOR FIELDS,1973,10,"['DISCRIMINANT', 'analysis', 'study', 'strategy', 'connect', 'COLLEGE', 'GRADE', 'success', 'different', 'major', 'fields']","['discriminant', 'analysis', 'study', 'strategy', 'connect', 'college', 'grade', 'success', 'different', 'major', 'fields']",discriminant analysis study strategy connect college grade success different major fields,discriminant; analysis; study; strategy; connect; college; grade; success; different; major; fields,,,,,,
SHOEMAKER D.M.,A NOTE ON ALLOCATING ITEMS TO SUBTESTS IN MULTIPLE MATRIX SAMPLING AND APPROXIMATING STANDARD ERRORS OF ESTIMATE WITH THE JACKKNIFE,1973,10,"['note', 'ALLOCATING', 'items', 'SUBTESTS', 'multiple', 'matrix', 'sampling', 'approximating', 'standard', 'ERRORS', 'estimate', 'JACKKNIFE']","['note', 'allocating', 'items', 'subtests', 'multiple', 'matrix', 'sampling', 'approximating', 'standard', 'errors', 'estimate', 'jackknife']",note allocating items subtests multiple matrix sampling approximating standard errors estimate jackknife,note; allocating; items; subtests; multiple; matrix; sampling; approximating; standard; errors; estimate; jackknife,,,,,,
EMRICK J.A.,AN EVALUATION MODEL FOR MASTERY TESTING,1971,8,"['evaluation', 'MASTERY', 'testing']","['evaluation', 'mastery', 'testing']",evaluation mastery testing,evaluation; mastery; testing,,,,,,
CHASE C.I.; PUGH R.C.,SOCIAL CLASS AND PERFORMANCE ON AN INTELLIGENCE TEST,1971,8,"['SOCIAL', 'CLASS', 'PERFORMANCE', 'INTELLIGENCE']","['social', 'class', 'performance', 'intelligence']",social class performance intelligence,social; class; performance; intelligence,,,,,,
PRICE J.?êA.,AN INSTRUMENT FOR MEASURING STUDENT TEACHER MORALE,1971,8,"['instrument', 'measure', 'student', 'teacher', 'MORALE']","['instrument', 'measure', 'student', 'teacher', 'morale']",instrument measure student teacher morale,instrument; measure; student; teacher; morale,,,,,,
HARRIS C.W.,AN INTERPRETATION OF LIVINGSTON'S RELIABILITY COEFFICIENT FOR CRITERION?êREFERENCED TESTS,1972,9,"['interpretation', 'livingston', 'RELIABILITY', 'COEFFICIENT', 'criterion; ceferenced']","['interpretation', 'livingston', 'reliability', 'coefficient', 'criterion; ceferenced']",interpretation livingston reliability coefficient criterion; ceferenced,interpretation; livingston; reliability; coefficient; criterion; ceferenced,,,,,,
BAKAN R.,ACADEMIC PERFORMANCE AND SELF?êCONCEPT AS A FUNCTION OF ACHIEVEMENT?êVARIABILITY,1971,8,"['academic', 'performance', 'SELF?êCONCEPT', 'function', 'achievement?êvariability']","['academic', 'performance', 'self-concept', 'function', 'achievement?êvariability']",academic performance self-concept function achievement?êvariability,academic; performance; self-concept; function; achievement?êvariability,,,,,,
SLAKTER M.J.; KOEHLER R.A.; HAMPTON S.H.,LEARNING TEST?êWISENESS BY PROGRAMMED TEXTS,1970,7,"['learn', 'TEST?êWISENESS', 'BY', 'PROGRAMMED', 'texts']","['learn', 'test?êwiseness', 'by', 'programmed', 'texts']",learn test?êwiseness by programmed texts,learn; test?êwiseness; by; programmed; texts,,,,,,
HILTON T.L.; PATRICK C.,CROSS?êSECTIONAL VERSUS LONGITUDINAL DATA: AN EMPIRICAL COMPARISON OF MEAN DIFFERENCES IN ACADEMIC GROWTH,1970,7,"['CROSS?êSECTIONAL', 'versus', 'LONGITUDINAL', 'datum', 'EMPIRICAL', 'comparison', 'MEAN', 'difference', 'academic', 'growth']","['cross-sectional', 'versus', 'longitudinal', 'datum', 'empirical', 'comparison', 'mean', 'difference', 'academic', 'growth']",cross-sectional versus longitudinal datum empirical comparison mean difference academic growth,cross-sectional; versus; longitudinal; datum; empirical; comparison; mean; difference; academic; growth,,,,,,
COX R.C.; STERRETT B.G.,A MODEL FOR INCREASING THE MEANING OF STANDARDIZED TEST SCORES,1970,7,"['increase', 'meaning', 'standardized', 'SCORES']","['increase', 'meaning', 'standardized', 'scores']",increase meaning standardized scores,increase; meaning; standardized; scores,,,,,,
KNAPP T.R.,A NOTE CONCERNING CARVER'S ?úA MODEL FOR USING THE FINAL EXAMINATION AS A MEASURE OF THE AMOUNT LEARNED IN CLASSROOM LEARNING??1970,7,"['note', 'concern', 'carver', '""', 'FINAL', 'examination', 'measure', 'LEARNED', 'CLASSROOM', 'LEARNING', '""']","['note', 'concern', 'carver', '""', 'final', 'examination', 'measure', 'learned', 'classroom', 'learning', '""']","note concern carver "" final examination measure learned classroom learning ""","note; concern; carver; ""; final; examination; measure; learned; classroom; learning; """,,,,,,,
"MANN L.; TAYLOR R.G., JR.; PROGER B.B.; DUNGAN R.H.; TIDEY W.J.",THE EFFECT OF SERIAL RETESTING ON THE RELATIVE PERFORMANCE OF HIGH??AND LOW?êTEST ANXIOUS SEVENTH GRADE STUDENTS,1970,7,"['effect', 'serial', 'retesting', 'relative', 'performance', 'HIGH??, 'low-test', 'anxious', 'seventh', 'GRADE', 'student']","['effect', 'serial', 'retesting', 'relative', 'performance', 'high??, 'low-test', 'anxious', 'seventh', 'grade', 'student']",effect serial retesting relative performance high??low-test anxious seventh grade student,effect; serial; retesting; relative; performance; high?? low-test; anxious; seventh; grade; student,,,,,,
"SCOTT N.C., JR.",ZIP TEST: A QUICK LOCATOR TEST FOR MIGRANT CHILDREN,1970,7,"['zip', 'QUICK', 'locator', 'migrant', 'child']","['zip', 'quick', 'locator', 'migrant', 'child']",zip quick locator migrant child,zip; quick; locator; migrant; child,,,,,,
LOHNES P.R.; GRIBBONS W.D.,THE MARKOV CHAIN AS NULL HYPOTHESIS IN A DEVELOPMENT SURVEY,1970,7,"['MARKOV', 'CHAIN', 'NULL', 'hypothesis', 'DEVELOPMENT', 'survey']","['markov', 'chain', 'null', 'hypothesis', 'development', 'survey']",markov chain null hypothesis development survey,markov; chain; null; hypothesis; development; survey,,,,,,
CLARK P.M.; MIRELS H.L.,FLUENCY AS A PERVASIVE ELEMENT IN THE MEASUREMENT OF CREATIVITY,1970,7,"['FLUENCY', 'pervasive', 'element', 'CREATIVITY']","['fluency', 'pervasive', 'element', 'creativity']",fluency pervasive element creativity,fluency; pervasive; element; creativity,,,,,,
"PFEIFER C.M., JR.; SEDLACEK W.E.",THE VALIDITY OF ACADEMIC PREDICTORS FOR BLACK AND WHITE STUDENTS AT A PREDOMINANTLY WHITE UNIVERSITY,1971,8,"['VALIDITY', 'academic', 'predictors', 'BLACK', 'white', 'student', 'PREDOMINANTLY', 'WHITE', 'UNIVERSITY']","['validity', 'academic', 'predictors', 'black', 'white', 'student', 'predominantly', 'white', 'university']",validity academic predictors black white student predominantly white university,validity; academic; predictors; black; white; student; predominantly; white; university,,,,,,
CARVER R.P.,ANALYSIS OF ?úCHUNKED??TEST ITEMS AS MEASURES OF READING AND LISTENING COMPREHENSION,1970,7,"['analysis', '""', 'CHUNKED', '""', 'items', 'MEASURES', 'reading', 'listening', 'comprehension']","['analysis', '""', 'chunked', '""', 'items', 'measures', 'reading', 'listening', 'comprehension']","analysis "" chunked "" items measures reading listening comprehension","analysis; ""; chunked; ""; items; measures; reading; listening; comprehension",,,,,,
MEURIS G.,THE STRUCTURE OF PRIMARY MENTAL ABILITIES OF BELGIAN SECONDARY SCHOOL STUDENTS,1970,7,"['structure', 'PRIMARY', 'MENTAL', 'ability', 'BELGIAN', 'SECONDARY', 'SCHOOL', 'student']","['structure', 'primary', 'mental', 'ability', 'belgian', 'secondary', 'school', 'student']",structure primary mental ability belgian secondary school student,structure; primary; mental; ability; belgian; secondary; school; student,,,,,,
HALINSKI R.S.; FELDT L.S.,THE SELECTION OF VARIABLES IN MULTIPLE REGRESSION ANALYSIS,1970,7,"['selection', 'VARIABLES', 'MULTIPLE', 'regression', 'analysis']","['selection', 'variables', 'multiple', 'regression', 'analysis']",selection variables multiple regression analysis,selection; variables; multiple; regression; analysis,,,,,,
DARLINGTON R.B.,SOME TECHNIQUES FOR MAXIMIZING A TEST'S VALIDITY WHEN THE CRITERION VARIABLE IS UNOBSERVED,1970,7,"['techniques', 'maximize', 'validity', 'criterion', 'variable', 'UNOBSERVED']","['techniques', 'maximize', 'validity', 'criterion', 'variable', 'unobserved']",techniques maximize validity criterion variable unobserved,techniques; maximize; validity; criterion; variable; unobserved,,,,,,
SIROTNIK K.,AN INVESTIGATION OF THE CONTEXT EFFECT IN MATRIX SAMPLING,1970,7,"['investigation', 'context', 'effect', 'matrix', 'sampling']","['investigation', 'context', 'effect', 'matrix', 'sampling']",investigation context effect matrix sampling,investigation; context; effect; matrix; sampling,,,,,,
JENSEN J.A.; SCHMITT J.A.,THE INFLUENCE OF TEST TITLE ON TEST RESPONSE,1970,7,"['INFLUENCE', 'TITLE', 'ON', 'RESPONSE']","['influence', 'title', 'on', 'response']",influence title on response,influence; title; on; response,,,,,,
GOLDSTEIN L.S.; COLLER A.R.; DILL J.; TILIS H.S.,THE EFFECT OF A SPECIAL CURRICULUM FOR DISADVANTAGED CHILDREN ON TEST?êRETEST RELIABILITIES OF THREE STANDARDIZED INSTRUMENTS,1970,7,"['effect', 'special', 'curriculum', 'disadvantaged', 'child', 'ON', 'test; cetest', 'RELIABILITIES', 'standardized', 'instrument']","['effect', 'special', 'curriculum', 'disadvantaged', 'child', 'on', 'test; cetest', 'reliabilities', 'standardized', 'instrument']",effect special curriculum disadvantaged child on test; cetest reliabilities standardized instrument,effect; special; curriculum; disadvantaged; child; on; test; cetest; reliabilities; standardized; instrument,,,,,,
QUERESHI M.Y.; MILLER J.M.,"THE COMPARABILITY OF THE WAIS, WISC, AND WBII",1970,7,"['COMPARABILITY', 'WAIS', 'wisc', 'wbii']","['comparability', 'wais', 'wisc', 'wbii']",comparability wais wisc wbii,comparability; wais; wisc; wbii,,,,,,
OWENS R.E.; HANNA G.S.; COPPEDGE F.L.,COMPARISON OF MULTIPLE?êCHOICE TESTS USING DIFFERENT TYPES OF DISTRACTOR SELECTION TECHNIQUES,1970,7,"['comparison', 'multiple choice', 'different', 'type', 'distractor', 'SELECTION', 'techniques']","['comparison', 'multiple choice', 'different', 'type', 'distractor', 'selection', 'techniques']",comparison multiple choice different type distractor selection techniques,comparison; multiple choice; different; type; distractor; selection; techniques,,,,,,
BOWERS J.,THE COMPARISON OF GPA REGRESSION EQUATIONS FOR REGULARLY ADMITTED AND DISADVANTAGED FRESHMEN AT THE UNIVERSITY OF ILLINOIS,1970,7,"['comparison', 'gpa', 'regression', 'equation', 'REGULARLY', 'admit', 'disadvantaged', 'FRESHMEN', 'UNIVERSITY', 'ILLINOIS']","['comparison', 'gpa', 'regression', 'equation', 'regularly', 'admit', 'disadvantaged', 'freshmen', 'university', 'illinois']",comparison gpa regression equation regularly admit disadvantaged freshmen university illinois,comparison; gpa; regression; equation; regularly; admit; disadvantaged; freshmen; university; illinois,,,,,,
RIPPEY R.M.,A COMPARISON OF FIVE DIFFERENT SCORING FUNCTIONS FOR CONFIDENCE TESTS,1970,7,"['comparison', 'different', 'scoring', 'function', 'confidence']","['comparison', 'different', 'scoring', 'function', 'confidence']",comparison different scoring function confidence,comparison; different; scoring; function; confidence,,,,,,
SHOEMAKER D.M.,ITEM?êEXAMINEE SAMPLING PROCEDURES AND ASSOCIATED STANDARD ERRORS IN ESTIMATING TEST PARAMETERS,1970,7,"['ITEM?êEXAMINEE', 'SAMPLING', 'PROCEDURES', 'ASSOCIATED', 'STANDARD', 'ERRORS', 'estimate', 'parameter']","['item-examinee', 'sampling', 'procedures', 'associated', 'standard', 'errors', 'estimate', 'parameter']",item-examinee sampling procedures associated standard errors estimate parameter,item-examinee; sampling; procedures; associated; standard; errors; estimate; parameter,,,,,,
DIEDERICH P.B.,SHORTCUT ITEM?êTEST CORRELATIONS FOR TEACHER?êMADE TESTS,1970,7,"['SHORTCUT', 'ITEM?êTEST', 'CORRELATIONS', 'teacher-made']","['shortcut', 'item-test', 'correlations', 'teacher-made']",shortcut item-test correlations teacher-made,shortcut; item-test; correlations; teacher-made,,,,,,
REA R.E.; REYS R.E.,THE COMPREHENSIVE MATHEMATICS INVENTORY: AN EXPERIMENTAL INSTRUMENT FOR ASSESSING YOUNGSTERS ENTERING SCHOOL,1970,7,"['COMPREHENSIVE', 'MATHEMATICS', 'INVENTORY', 'EXPERIMENTAL', 'INSTRUMENT', 'assess', 'youngster', 'enter', 'SCHOOL']","['comprehensive', 'mathematics', 'inventory', 'experimental', 'instrument', 'assess', 'youngster', 'enter', 'school']",comprehensive mathematics inventory experimental instrument assess youngster enter school,comprehensive; mathematics; inventory; experimental; instrument; assess; youngster; enter; school,,,,,,
BROWN S.R.,THE FORCED?êFREE DISTINCTION IN Q TECHNIQUE,1971,8,"['forced-free', 'DISTINCTION', 'Q', 'TECHNIQUE']","['forced-free', 'distinction', 'q', 'technique']",forced-free distinction q technique,forced-free; distinction; q; technique,,,,,,
LUNNEY G.H.,USING ANALYSIS OF VARIANCE WITH A DICHOTOMOUS DEPENDENT VARIABLE: AN EMPIRICAL STUDY,1970,7,"['ANALYSIS', 'variance', 'dichotomous', 'dependent', 'variable', 'EMPIRICAL', 'study']","['analysis', 'variance', 'dichotomous', 'dependent', 'variable', 'empirical', 'study']",analysis variance dichotomous dependent variable empirical study,analysis; variance; dichotomous; dependent; variable; empirical; study,,,,,,
SLAKTER M.J.; KOEHLER R.A.; HAMPTON S.H.,"GRADE LEVEL, SEX, AND SELECTED ASPECTS OF TEST?êWISENESS",1970,7,"['grade', 'level', 'SEX', 'selected', 'ASPECTS', 'test?êwiseness']","['grade', 'level', 'sex', 'selected', 'aspects', 'test?êwiseness']",grade level sex selected aspects test?êwiseness,grade; level; sex; selected; aspects; test?êwiseness,,,,,,
JORGENSON D.O.,PREDICTION OF PREDICTABILITY IN THE MULTIVARIATE CASE,1970,7,"['prediction', 'predictability', 'multivariate', 'case']","['prediction', 'predictability', 'multivariate', 'case']",prediction predictability multivariate case,prediction; predictability; multivariate; case,,,,,,
ROSENGARTEN W.,MEASURING FACULTY REACTION TO HOMOGENEOUS GROUPING,1970,7,"['measure', 'FACULTY', 'reaction', 'HOMOGENEOUS', 'grouping']","['measure', 'faculty', 'reaction', 'homogeneous', 'grouping']",measure faculty reaction homogeneous grouping,measure; faculty; reaction; homogeneous; grouping,,,,,,
WILBUR P.H.,POSITIONAL RESPONSE SET AMONG HIGH SCHOOL STUDENTS ON MULTIPLE?êCHOICE TESTS,1970,7,"['POSITIONAL', 'RESPONSE', 'SET', 'high', 'SCHOOL', 'student', 'multiple choice']","['positional', 'response', 'set', 'high', 'school', 'student', 'multiple choice']",positional response set high school student multiple choice,positional; response; set; high; school; student; multiple choice,,,,,,
TEMP G.,VALIDITY OF THE SAT FOR BLACKS AND WHITES IN THIRTEEN INTEGRATED INSTITUTIONS,1971,8,"['VALIDITY', 'sat', 'BLACKS', 'white', 'thirteen', 'INTEGRATED', 'institution']","['validity', 'sat', 'blacks', 'white', 'thirteen', 'integrated', 'institution']",validity sat blacks white thirteen integrated institution,validity; sat; blacks; white; thirteen; integrated; institution,,,,,,
POLLOCK M.B.,MOOD?êALTERING SUBSTANCES: A BEHAVIOR INVENTORY,1970,7,"['mood-altere', 'substance', 'behavior', 'INVENTORY']","['mood-altere', 'substance', 'behavior', 'inventory']",mood-altere substance behavior inventory,mood-altere; substance; behavior; inventory,,,,,,
GARDNER P.L.,TEST LENGTH AND THE STANDARD ERROR OF MEASUREMENT,1970,7,"['LENGTH', 'STANDARD', 'error']","['length', 'standard', 'error']",length standard error,length; standard; error,,,,,,
SMITH R.B.,AN EMPIRICAL INVESTIGATION OF COMPLEXITY AND PROCESS IN MULTIPLE?êCHOICE ITEMS,1970,7,"['EMPIRICAL', 'investigation', 'complexity', 'PROCESS', 'multiple choice', 'ITEMS']","['empirical', 'investigation', 'complexity', 'process', 'multiple choice', 'items']",empirical investigation complexity process multiple choice items,empirical; investigation; complexity; process; multiple choice; items,,,,,,
BAIRD L.L.,"THE RELATION OF VOCATIONAL INTERESTS TO LIFE GOALS, SELF?êRATINGS OF ABILITY AND PERSONALITY TRAITS, AND POTENTIAL FOR ACHIEVEMENT",1970,7,"['RELATION', 'VOCATIONAL', 'INTERESTS', 'life', 'goals', 'self; cating', 'ability', 'personality', 'trait', 'POTENTIAL', 'achievement']","['relation', 'vocational', 'interests', 'life', 'goals', 'self; cating', 'ability', 'personality', 'trait', 'potential', 'achievement']",relation vocational interests life goals self; cating ability personality trait potential achievement,relation; vocational; interests; life; goals; self; cating; ability; personality; trait; potential; achievement,,,,,,
LEVINE H.G.; McGUIRE C.H.,THE VALIDITY AND RELIABILITY OF ORAL EXAMINATIONS IN ASSESSING COGNITIVE SKILLS IN MEDICINE,1970,7,"['VALIDITY', 'reliability', 'oral', 'examination', 'assess', 'cognitive', 'skill', 'medicine']","['validity', 'reliability', 'oral', 'examination', 'assess', 'cognitive', 'skill', 'medicine']",validity reliability oral examination assess cognitive skill medicine,validity; reliability; oral; examination; assess; cognitive; skill; medicine,,,,,,
HOGAN T.P.,USING OLD SOCIOECONOMIC DATA FOR DEFINING NORM GROUPS,1970,7,"['old', 'SOCIOECONOMIC', 'datum', 'define', 'NORM', 'GROUPS']","['old', 'socioeconomic', 'datum', 'define', 'norm', 'groups']",old socioeconomic datum define norm groups,old; socioeconomic; datum; define; norm; groups,,,,,,
FISCHER F.E.,SOME PROPERTIES OF THE PERSONAL BISERIAL INDEX,1970,7,"['property', 'PERSONAL', 'BISERIAL', 'INDEX']","['property', 'personal', 'biserial', 'index']",property personal biserial index,property; personal; biserial; index,,,,,,
SHOEMAKER D.M.,ALLOCATION OF ITEMS AND EXAMINEES IN ESTIMATING A NORM DISTRIBUTION BY ITEM?êSAMPLING,1970,7,"['allocation', 'items', 'examinees', 'estimate', 'NORM', 'distribution', 'BY', 'item-sampling']","['allocation', 'items', 'examinees', 'estimate', 'norm', 'distribution', 'by', 'item-sampling']",allocation items examinees estimate norm distribution by item-sampling,allocation; items; examinees; estimate; norm; distribution; by; item-sampling,,,,,,
REID J.C.,PRINTED COMMENTS WITH ITEM ANALYSES,1970,7,"['PRINTED', 'comment', 'ITEM', 'analysis']","['printed', 'comment', 'item', 'analysis']",printed comment item analysis,printed; comment; item; analysis,,,,,,
HAMBLETON R.K.; ROBERTS D.M.; TRAUB R.E.,A COMPARISON OF THE RELIABILITY AND VALIDITY OF TWO METHODS FOR ASSESSING PARTIAL KNOWLEDGE ON A MULTIPLE?êCHOICE TEST,1970,7,"['comparison', 'RELIABILITY', 'VALIDITY', 'METHODS', 'assess', 'partial', 'knowledge', 'multiple choice']","['comparison', 'reliability', 'validity', 'methods', 'assess', 'partial', 'knowledge', 'multiple choice']",comparison reliability validity methods assess partial knowledge multiple choice,comparison; reliability; validity; methods; assess; partial; knowledge; multiple choice,,,,,,
SPENCER R.E.; ALEAMONI L.M.,A STUDENT COURSE EVALUATION QUESTIONNAIRE,1970,7,"['student', 'course', 'evaluation', 'questionnaire']","['student', 'course', 'evaluation', 'questionnaire']",student course evaluation questionnaire,student; course; evaluation; questionnaire,,,,,,
KEENEN C.B.; HOLMES J.E.,PREDICTING GRADUATION WITHDRAWAL AND FAILURE IN COLLEGE BY MULTIPLE DISCRIMINANT ANALYSIS,1970,7,"['predict', 'GRADUATION', 'withdrawal', 'FAILURE', 'COLLEGE', 'MULTIPLE', 'DISCRIMINANT', 'analysis']","['predict', 'graduation', 'withdrawal', 'failure', 'college', 'multiple', 'discriminant', 'analysis']",predict graduation withdrawal failure college multiple discriminant analysis,predict; graduation; withdrawal; failure; college; multiple; discriminant; analysis,,,,,,
CARVER R.P.,REJOINDER TO KNAPP'S NOTE,1970,7,"['rejoinder', 'KNAPPS', 'note']","['rejoinder', 'knapps', 'note']",rejoinder knapps note,rejoinder; knapps; note,,,,,,
MARSO R.N.,"TEST ITEM ARRANGEMENT, TESTING TIME, AND PERFORMANCE",1970,7,"['ITEM', 'ARRANGEMENT', 'testing', 'TIME', 'performance']","['item', 'arrangement', 'testing', 'time', 'performance']",item arrangement testing time performance,item; arrangement; testing; time; performance,,,,,,
DIELMAN T.E.; WILSON W.R.,"CONVERGENT AND DISCRIMINANT VALIDITY OF THREE MEASURES OF ABILITY, ASPIRATION?êLEVEL, ACHIEVEMENT, ADJUSTMENT AND DOMINANCE",1970,7,"['convergent', 'discriminant', 'VALIDITY', 'MEASURES', 'ABILITY', 'ASPIRATION?êLEVEL', 'ACHIEVEMENT', 'ADJUSTMENT', 'dominance']","['convergent', 'discriminant', 'validity', 'measures', 'ability', 'aspiration-level', 'achievement', 'adjustment', 'dominance']",convergent discriminant validity measures ability aspiration-level achievement adjustment dominance,convergent; discriminant; validity; measures; ability; aspiration-level; achievement; adjustment; dominance,,,,,,
